GeneName,logFC,pval,padj
CAND2,-0.22262,0,0
CANT1,0.26918,0.037901336,0.037901336
CANX,-0.36985,0.014739392,0.014739392
CAP1,-0.89637,7.32E-48,7.32E-48
CAP2,-0.86152,2.32E-06,2.32E-06
CAPG,-1.04416,0.00057151,0.00057151
CAPN1,-0.69961,6.89E-09,6.89E-09
CAPN10,-0.22199,0.412906781,0.412906781
CAPN11,0.77425,0,0
CAPN12,0.09957,0.717316155,0.717316155
CAPN13,-0.38834,0,0
CAPN14,0.32896,0,0
CAPN2,-0.92658,1.23E-64,1.23E-64
CAPN3,-0.286,0,0
CAPN5,-0.82763,0.024221785,0.024221785
CAPN6,0,0,0
CAPN7,0.36858,0.065040505,0.065040505
CAPN8,-0.52351,0,0
CAPN9,0,0,0
CAPNS1,-0.81473,5.21E-22,5.21E-22
CAPNS2,0,0,0
CAPRIN1,0.01065,0.936873615,0.936873615
CAPRIN2,0.08902,0.73166178,0.73166178
CAPS2,0.18803,0,0
CAPSL,0,0,0
CAPZA1,-0.19178,0.226652117,0.226652117
CAPZA2,-0.23225,0.226340514,0.226340514
CAPZA3,0,0,0
CAPZB,-1.13366,1.29E-37,1.29E-37
CARD10,-0.35207,0.181686364,0.181686364
CARD11,-0.04114,0,0
CARD14,0.07756,0,0
CARD16,-0.35565,0,0
CARD17,0,0,0
CARD18,0,0,0
CARD6,-0.31931,0.326494512,0.326494512
CARD8,-0.07983,0.754388323,0.754388323
CARD9,1.66604,6.65E-06,6.65E-06
CARHSP1,-0.44002,0.107634578,0.107634578
CARKD,0.29805,0.097571099,0.097571099
CARM1,-0.02794,0.93546713,0.93546713
CARNS1,-0.1535,0,0
CARS,-0.60957,1.25E-06,1.25E-06
CARS2,-0.37479,0.056681279,0.056681279
CARTPT,0.31719,0,0
CASC1,0.52431,0,0
CASC2,0.07207,0,0
CASC3,0.45204,7.70E-05,7.70E-05
CASC4,0.20608,0.219516097,0.219516097
CASC5,0.39585,0.500687697,0.500687697
CASD1,0.66018,0.00110572,0.00110572
CASK,-0.10494,0,0
CASKIN1,0.03758,0,0
CASKIN2,0.29295,0.28415874,0.28415874
CASP10,0.96402,4.91E-06,4.91E-06
CASP12,0,0,0
CASP14,0,0,0
CASP2,-0.30293,0.401548556,0.401548556
CASP3,-0.38948,0.188962826,0.188962826
CASP4,0.1263,0.640342192,0.640342192
CASP5,0,0,0
CASP6,-0.35404,0.244738518,0.244738518
CASP7,-0.20716,0.23288325,0.23288325
CASP8,0.40468,0.005448105,0.005448105
CASP8AP2,0.8664,0,0
CASP9,0.46952,0.116001271,0.116001271
CASQ1,-0.29875,0,0
CASQ2,0,0,0
CASR,0,0,0
CASS4,-0.02925,0,0
CAST,-0.19815,0,0
CASZ1,0.40033,0.37600531,0.37600531
CAT,-0.24082,0,0
CATSPER1,-0.08889,0,0
CATSPER2,-0.08583,0,0
CATSPER2P1,-0.2191,0,0
CATSPER3,0.15333,0,0
CATSPER4,0,0,0
CATSPERB,0.64476,0,0
CATSPERD,1.35724,0,0
CATSPERG,0.00809,0,0
CAV1,-1.37284,1.82E-40,1.82E-40
CAV2,-0.1812,0.402082232,0.402082232
CAV3,0,0,0
CBFA2T2,0.19905,0.587354262,0.587354262
CBFA2T3,0.31075,0,0
CBFB,0.12972,0.603050975,0.603050975
CBL,0.25725,0.239461925,0.239461925
CBLB,-0.09771,0.757007598,0.757007598
CBLC,-0.02925,0,0
CBLL1,0.65924,0.01875009,0.01875009
CBLN1,-0.02925,0,0
CBLN3,-0.40921,0.417440709,0.417440709
CBLN4,0,0,0
CBR1,-0.33295,0.002249918,0.002249918
CBR3,-1.60736,0,0
CBR3-AS1,0.13488,0,0
CBR4,0.5305,0.082615402,0.082615402
CBS,-0.83752,0.001227268,0.001227268
CBWD1,0.31099,0.4844445,0.4844445
CBWD2,0.41908,0.083035402,0.083035402
CBWD3,0.23378,0,0
CBWD5,0,0,0
CBWD6,0.98273,0.0278524,0.0278524
CBX1,-0.13638,0.577837848,0.577837848
CBX2,-0.52402,0.078619236,0.078619236
CBX3,-0.03381,0.843568277,0.843568277
CBX3P2,0.31075,0,0
CBX4,0.19979,0,0
CBX5,-0.16129,0.223716833,0.223716833
CBX6,0.18505,0.380300827,0.380300827
CBX7,-0.83897,0.071962952,0.071962952
CBX8,0.17209,0.558808978,0.558808978
CBY1,-0.3849,0.245418244,0.245418244
CBY3,-0.19885,0,0
CC2D1A,-0.65208,0.011304632,0.011304632
CC2D1B,0.15161,0.461533192,0.461533192
CC2D2A,0.04991,0.903117861,0.903117861
CC2D2B,0,0,0
CCAR1,0.44908,0.001660486,0.001660486
CCBL1,0.01783,0.973291255,0.973291255
CCBL2,-0.18662,0,0
CCBP2,-0.23077,0,0
CCDC101,0.05698,0.921420238,0.921420238
CCDC102A,-0.4086,0.339276979,0.339276979
CCDC102B,0.23567,0,0
CCDC103,-0.32754,0.360458015,0.360458015
CCDC104,-0.01802,0.949056332,0.949056332
CCDC105,0,0,0
CCDC106,0.43196,0.408774107,0.408774107
CCDC107,0.28223,0.437557349,0.437557349
CCDC108,1.13934,0,0
CCDC109B,0.13364,0.831211525,0.831211525
CCDC11,0.22347,0,0
CCDC110,-0.05306,0,0
CCDC111,-0.27079,0,0
CCDC112,0.01915,0.972450275,0.972450275
CCDC114,0.59357,0,0
CCDC115,-0.3748,0.176717506,0.176717506
CCDC116,0.26875,0,0
CCDC117,0.33531,0.110516667,0.110516667
CCDC12,0.28864,0.145219909,0.145219909
CCDC120,0.39308,0.321641682,0.321641682
CCDC121,0.34733,0.442724606,0.442724606
CCDC122,0.80015,0,0
CCDC124,-0.54061,0.002809455,0.002809455
CCDC125,0.23946,0.65237565,0.65237565
CCDC126,1.11558,0.018474816,0.018474816
CCDC127,-0.89536,4.54E-05,4.54E-05
CCDC129,0,0,0
CCDC13,1.63536,0,0
CCDC13-AS1,0,0,0
CCDC130,0.59635,0.005792637,0.005792637
CCDC132,-0.38228,0.12128403,0.12128403
CCDC134,0.27133,0,0
CCDC135,-0.52834,0,0
CCDC136,0.04268,0,0
CCDC137,0.20059,0.100563813,0.100563813
CCDC138,0.27413,0.59708472,0.59708472
CCDC14,0.47578,0.00231314,0.00231314
CCDC140,0,0,0
CCDC141,0,0,0
CCDC142,0.65119,4.18E-05,4.18E-05
CCDC144A,1.4973,0.000120593,0.000120593
CCDC144B,0.31266,0.639983794,0.639983794
CCDC144C,1.72106,0,0
CCDC144NL,0.29465,0,0
CCDC146,0.16035,0,0
CCDC147,0.13225,0,0
CCDC148,0.14609,0,0
CCDC148-AS1,0,0,0
CCDC149,-0.07155,0,0
CCDC15,-0.14267,0,0
CCDC150,0.70432,0.145521379,0.145521379
CCDC151,0.02335,0,0
CCDC152,0,0,0
CCDC153,0.27752,0,0
CCDC154,0.3466,0,0
CCDC155,0,0,0
CCDC157,-0.19063,0,0
CCDC158,0,0,0
CCDC159,0.04764,0.941057276,0.941057276
CCDC160,0.26263,0,0
CCDC162P,-0.06007,0,0
CCDC163P,0.99623,0,0
CCDC164,-0.02925,0,0
CCDC166,0.45441,0,0
CCDC167,-0.77644,0.07248508,0.07248508
CCDC168,-0.19088,0,0
CCDC169,-0.22355,0,0
CCDC169-SOHLH2,0,0,0
CCDC17,-1.2584,0,0
CCDC170,0.31781,0,0
CCDC171,-0.18541,0,0
CCDC172,0,0,0
CCDC173,0.11327,0,0
CCDC174,0.76978,0.000627565,0.000627565
CCDC175,0,0,0
CCDC176,-0.31507,0.371323653,0.371323653
CCDC177,0,0,0
CCDC178,-0.2637,0,0
CCDC179,0,0,0
CCDC18,-0.28751,0,0
CCDC19,0.20565,0,0
CCDC22,-0.61552,0.043452178,0.043452178
CCDC23,-0.55921,0.107939756,0.107939756
CCDC24,-0.88909,0.019817595,0.019817595
CCDC25,-0.32531,0.081670199,0.081670199
CCDC27,0,0,0
CCDC28A,-0.46778,0.319984266,0.319984266
CCDC28B,0.46351,0,0
CCDC3,0.3287,0,0
CCDC30,-0.44164,0,0
CCDC33,1.58454,0,0
CCDC36,-0.02925,0,0
CCDC37,0,0,0
CCDC38,0.2877,0,0
CCDC39,-0.04114,0,0
CCDC40,-0.29858,0.576771986,0.576771986
CCDC41,0.60853,0.043075017,0.043075017
CCDC42,0,0,0
CCDC42B,0,0,0
CCDC43,0.62167,1.21E-05,1.21E-05
CCDC47,-0.43016,0.001830491,0.001830491
CCDC50,0.12026,0.476143535,0.476143535
CCDC51,-0.43026,0.05949407,0.05949407
CCDC53,-0.00493,0.989341399,0.989341399
CCDC54,0,0,0
CCDC57,0.09798,0.7461144,0.7461144
CCDC58,0.22546,0.225538731,0.225538731
CCDC59,0.78923,0,0
CCDC6,-0.2966,0.144570205,0.144570205
CCDC60,0,0,0
CCDC61,0.14407,0.770424506,0.770424506
CCDC63,-0.19088,0,0
CCDC64,0.46589,0.131571599,0.131571599
CCDC64B,-0.10689,0,0
CCDC65,0.05604,0,0
CCDC66,0.88512,0.016169583,0.016169583
CCDC67,0,0,0
CCDC68,0.15416,0.616056518,0.616056518
CCDC69,0.07929,0.893569803,0.893569803
CCDC7,0.46139,0,0
CCDC70,0,0,0
CCDC71,-0.23437,0.362722259,0.362722259
CCDC71L,1.391,4.49E-10,4.49E-10
CCDC73,-0.19155,0,0
CCDC74A,-0.42997,0,0
CCDC74B-AS1,0,0,0
CCDC77,0.30162,0.574078446,0.574078446
CCDC78,-0.22746,0.561275432,0.561275432
CCDC79,-0.02925,0,0
CCDC8,0,0,0
CCDC80,-0.44344,0.008415827,0.008415827
CCDC81,1.75786,0,0
CCDC82,0.4346,0.075289059,0.075289059
CCDC83,0,0,0
CCDC84,0.11373,0.786098799,0.786098799
CCDC85A,0.39869,0.433837125,0.433837125
CCDC85B,-0.07395,0.803163569,0.803163569
CCDC85C,-0.51749,0.064906559,0.064906559
CCDC86,0.0797,0.652061835,0.652061835
CCDC87,0.60457,0,0
CCDC88A,0.36135,0.108047459,0.108047459
CCDC88B,-0.16294,0.700288926,0.700288926
CCDC88C,0.41325,0.199113459,0.199113459
CCDC89,-0.29269,0,0
CCDC9,0.7112,0.006867788,0.006867788
CCDC90A,0.08259,0.789786686,0.789786686
CCDC90B,-0.20327,0.352599506,0.352599506
CCDC91,0.223,0.497614178,0.497614178
CCDC92,-0.2817,0.322164718,0.322164718
CCDC93,0.16776,0.448659576,0.448659576
CCDC94,0.28307,0.28714229,0.28714229
CCDC96,-0.15047,0.810167384,0.810167384
CCDC97,-0.04361,0.869066757,0.869066757
CCER1,0,0,0
CCHCR1,0.99547,0.004645303,0.004645303
CCIN,-0.10689,0,0
CCK,-0.18471,0,0
CCKAR,0,0,0
CCKBR,0,0,0
CCL1,0,0,0
CCL11,0,0,0
CCL13,0,0,0
CCL14,0,0,0
CCL15,0,0,0
CCL15-CCL14,0,0,0
CCL16,0,0,0
CCL17,0,0,0
CCL18,0,0,0
CCL19,0,0,0
CCL21,0,0,0
CCL23,0,0,0
CCL24,0,0,0
CCL25,-0.14267,0,0
CCL26,-0.88761,0.115163695,0.115163695
CCL27,0.23378,0,0
CCL28,-0.02925,0,0
CCL3L1,0,0,0
CCL3L3,0,0,0
CCL4L1,0,0,0
CCL4L2,0,0,0
CCL7,0,0,0
CCL8,0,0,0
CCM2,-0.51491,0.040003846,0.040003846
CCM2L,0.00398,0,0
CCNA1,-0.05306,0,0
CCNA2,0.69362,0.101492243,0.101492243
CCNB1,0.36652,0.035854378,0.035854378
CCNB1IP1,0.4051,0.004376685,0.004376685
CCNB2,0.2688,0.568549306,0.568549306
CCNB3,-0.36909,0,0
CCNC,0.50239,0.039327314,0.039327314
CCND1,-0.80325,1.77E-33,1.77E-33
CCND2,-0.2637,0,0
CCNDBP1,-0.49095,0.02732015,0.02732015
CCNE1,0.3584,0.109999042,0.109999042
CCNE2,0.2799,0,0
CCNF,-0.14867,0.792096373,0.792096373
CCNG1,0.88014,2.70E-10,2.70E-10
CCNG2,1.06301,1.34E-06,1.34E-06
CCNH,0.25868,0,0
CCNI,0.06267,0.699026895,0.699026895
CCNI2,-0.42628,0,0
CCNJ,0.63742,0.002461231,0.002461231
CCNJL,-0.52682,0.014219444,0.014219444
CCNK,0.61555,0.000184872,0.000184872
CCNL2,-0.27471,0.157729115,0.157729115
CCNO,0.61512,0,0
CCNT1,1.6333,6.43E-35,6.43E-35
CCNT2,1.59543,4.49E-45,4.49E-45
CCNY,0.16717,0.300342382,0.300342382
CCNYL1,0.31716,0.057071515,0.057071515
CCP110,0.43469,0.052262257,0.052262257
CCPG1,0.49941,0.253340757,0.253340757
CCR1,-0.31809,0,0
CCR10,0.16581,0,0
CCR2,0,0,0
CCR3,0,0,0
CCR4,0.38762,0,0
CCR5,0,0,0
CCR6,1.59087,0,0
CCR7,0.36035,0,0
CCR8,0,0,0
CCR9,0,0,0
CCRL2,-0.14237,0,0
CCS,-0.28066,0.298194172,0.298194172
CCSAP,0.47316,0.319959268,0.319959268
CCSER1,0.06157,0,0
CCSER2,0.20219,0.327108369,0.327108369
CCT2,-0.19686,0.019893572,0.019893572
CCT3,-0.21029,0.037957976,0.037957976
CCT4,-0.119,0.232281874,0.232281874
CCT5,-0.42648,6.20E-05,6.20E-05
CCT6A,-0.22317,0.020034948,0.020034948
CCT6B,0.51991,0,0
CCT6P1,0.57025,0.163291997,0.163291997
CCT6P3,0.48441,0,0
CCT7,-0.58558,3.50E-26,3.50E-26
CCT8,-0.14326,0.153943839,0.153943839
CCT8L2,0,0,0
CCZ1,-0.30184,0.302895059,0.302895059
CCZ1B,-0.00229,0.997195425,0.997195425
CD101,-0.03173,0,0
CD109,-0.62574,7.07E-07,7.07E-07
CD14,0.19338,0,0
CD151,-0.5993,6.65E-06,6.65E-06
CD160,-0.19959,0,0
CD163,-0.04114,0,0
CD163L1,-0.0862,0,0
CD164,0.25196,0,0
CD164L2,0,0,0
CD177,-0.31596,0,0
CD180,0,0,0
CD19,0,0,0
CD1A,0,0,0
CD1B,0,0,0
CD1C,0,0,0
CD1D,-0.0725,0,0
CD1E,0,0,0
CD2,0,0,0
CD200,0,0,0
CD200R1L,-0.23078,0,0
CD207,0,0,0
CD209,0,0,0
CD22,-1.1767,0.022283611,0.022283611
CD226,-0.14227,0,0
CD24,-0.30947,0.001081443,0.001081443
CD244,0,0,0
CD247,0,0,0
CD248,0,0,0
CD27,0.31719,0,0
CD27-AS1,0.19611,0,0
CD276,-0.686,0.000180268,0.000180268
CD28,0,0,0
CD2AP,0.09086,0.601469438,0.601469438
CD2BP2,0.17247,0.110760994,0.110760994
CD300A,0.55672,0,0
CD300C,0,0,0
CD300E,0.38762,0,0
CD300LD,0,0,0
CD300LF,0,0,0
CD300LG,-0.05306,0,0
CD302,0.95439,0,0
CD320,-0.36849,0,0
CD33,-0.02925,0,0
CD34,0,0,0
CD36,-0.04026,0,0
CD37,0,0,0
CD3D,0,0,0
CD3E,0,0,0
CD3EAP,0.09436,0.749005824,0.749005824
CD3G,0,0,0
CD4,-0.07346,0,0
CD40,0.48878,0,0
CD40LG,0,0,0
CD44,-0.77241,8.93E-15,8.93E-15
CD46,0.13679,0.275712221,0.275712221
CD47,0.09371,0.690192148,0.690192148
CD48,0,0,0
CD5,0,0,0
CD52,0,0,0
CD53,0,0,0
CD58,0.1493,0.631450098,0.631450098
CD59,-0.72464,5.87E-20,5.87E-20
CD5L,0,0,0
CD6,0.24868,0,0
CD63,-0.87918,9.70E-44,9.70E-44
CD7,0.17119,0,0
CD70,-0.12666,0.625477375,0.625477375
CD72,-0.51973,0,0
CD74,0.12611,0,0
CD79A,1.43915,0,0
CD79B,0.34632,0,0
CD80,-0.13368,0,0
CD81,-1.24943,7.97E-27,7.97E-27
CD84,-0.0725,0,0
CD86,0,0,0
CD8A,-0.53696,0,0
CD8B,0,0,0
CD9,-0.83292,0,0
CD93,0,0,0
CD96,-0.02925,0,0
CD97,-0.93621,6.71E-06,6.71E-06
CD99,-0.58303,3.87E-06,3.87E-06
CD99L2,0.02851,0.869935987,0.869935987
CD99P1,0.78768,0,0
CDA,-0.86273,6.77E-06,6.77E-06
CDADC1,0.91666,0.074368531,0.074368531
CDAN1,-0.38585,0.296420705,0.296420705
CDC123,-0.37106,0.002610497,0.002610497
CDC14A,1.20303,0.016779213,0.016779213
CDC14B,-0.20238,0.428091032,0.428091032
CDC14C,0,0,0
CDC16,-0.15275,0.448039797,0.448039797
CDC20,0.72747,0.043687835,0.043687835
CDC20B,0,0,0
CDC23,-0.23196,0.212937941,0.212937941
CDC25A,0.02599,0.952579605,0.952579605
CDC25B,0.28909,0.002271366,0.002271366
CDC25C,0.3624,0,0
CDC26,0.76109,0.006269228,0.006269228
CDC27,0.14909,0.319143515,0.319143515
CDC34,-0.20606,0.283468615,0.283468615
CDC37,-0.18164,0.098587755,0.098587755
CDC37L1,0.48518,0.036757788,0.036757788
CDC40,-0.07726,0.845444053,0.845444053
CDC42,-0.42296,0.000195112,0.000195112
CDC42BPA,0.18408,0.430870616,0.430870616
CDC42BPB,-0.52847,9.22E-08,9.22E-08
CDC42BPG,-0.12318,0.768968537,0.768968537
CDC42EP1,-1.19906,2.22E-08,2.22E-08
CDC42EP2,-0.05822,0,0
CDC42EP3,0.39497,0.011633697,0.011633697
CDC42EP4,-0.21439,0.449443516,0.449443516
CDC42EP5,-0.07346,0,0
CDC42SE1,0.60543,1.26E-10,1.26E-10
CDC42SE2,0.09622,0.593663695,0.593663695
CDC45,0.35437,0.427784381,0.427784381
CDC5L,0.17563,0.415862495,0.415862495
CDC6,-0.56225,0.072479619,0.072479619
CDC7,-0.01976,0.968841406,0.968841406
CDC73,0.06957,0.769765932,0.769765932
CDCA2,0.62426,0.131670557,0.131670557
CDCA3,-0.21781,0,0
CDCA4,-0.09967,0.733591884,0.733591884
CDCA5,0.49371,0.140101489,0.140101489
CDCA7,0.01111,0.96569789,0.96569789
CDCA8,-0.20632,0.763816379,0.763816379
CDCP2,-0.09822,0,0
CDH1,-0.13551,0.300699338,0.300699338
CDH10,0.70464,0,0
CDH11,0,0,0
CDH12,0,0,0
CDH13,0,0,0
CDH15,-0.1535,0,0
CDH18,-0.02925,0,0
CDH19,0.275,0.623088083,0.623088083
CDH2,-0.89142,0,0
CDH20,0,0,0
CDH22,0.45014,0,0
CDH23,-0.90385,0,0
CDH24,-0.50998,0.15018837,0.15018837
CDH26,-0.42862,0,0
CDH4,-1.32788,1.48E-06,1.48E-06
CDH5,-0.19155,0,0
CDH6,0.2678,0,0
CDH7,0.0145,0,0
CDH8,-0.05306,0,0
CDH9,-0.0725,0,0
CDHR1,0.21895,0,0
CDHR2,-0.06771,0,0
CDHR3,-0.2152,0,0
CDHR4,0.70221,0,0
CDHR5,0.9941,0,0
CDIP1,0.85342,0.022013252,0.022013252
CDIPT,-0.28696,0.080767517,0.080767517
CDK1,0.96099,0.000439836,0.000439836
CDK10,0.21169,0.243033745,0.243033745
CDK11A,0.47898,0.07825856,0.07825856
CDK11B,0.22533,0.38698771,0.38698771
CDK12,0.32145,0.006218108,0.006218108
CDK13,0.67886,3.41E-06,3.41E-06
CDK14,0.36995,0,0
CDK15,0,0,0
CDK16,-0.18653,0.253441022,0.253441022
CDK17,0.89491,4.56E-07,4.56E-07
CDK18,0.1472,0,0
CDK19,-0.55003,0.104254331,0.104254331
CDK2,-0.12827,0.750246317,0.750246317
CDK20,-0.07139,0.894508399,0.894508399
CDK2AP1,0.05773,0.71561988,0.71561988
CDK2AP2,-0.11938,0.697688371,0.697688371
CDK3,0,0,0
CDK4,0.15461,0.120872053,0.120872053
CDK5,-0.52256,0.021913989,0.021913989
CDK5R1,1.5321,1.89E-08,1.89E-08
CDK5RAP1,0.11569,0.631160039,0.631160039
CDK5RAP2,-0.32658,0.09954398,0.09954398
CDK5RAP3,-0.18088,0,0
CDK6,0.41022,0.074811531,0.074811531
CDK7,0.28001,0.2002089,0.2002089
CDK8,0.99271,0.000207285,0.000207285
CDK9,0.09084,0.655886726,0.655886726
CDKAL1,-0.2831,0.413918728,0.413918728
CDKL1,-0.2112,0,0
CDKL2,0.42438,0,0
CDKL3,1.66262,0,0
CDKL4,0.50122,0,0
CDKL5,0.32779,0.341896972,0.341896972
CDKN1A,0.12614,0,0
CDKN1B,1.8353,2.98E-49,2.98E-49
CDKN1C,0.19206,0,0
CDKN2A,0,0,0
CDKN2AIP,0.89504,5.50E-06,5.50E-06
CDKN2AIPNL,-0.45107,0.05195503,0.05195503
CDKN2B,0,0,0
CDKN2B-AS1,0,0,0
CDKN2D,-0.67928,0,0
CDKN3,0.63675,0.099536814,0.099536814
CDNF,0.48177,0,0
CDO1,0.82763,0,0
CDON,-0.01798,0.978358528,0.978358528
CDPF1,0.07166,0.911533539,0.911533539
CDR1,0,0,0
CDR2,-0.00179,0.99510648,0.99510648
CDR2L,-0.40872,0.002438916,0.002438916
CDRT15,0,0,0
CDRT15L2,0,0,0
CDRT15P1,0,0,0
CDRT15P2,-0.02925,0,0
CDRT4,0,0,0
CDRT7,0,0,0
CDS1,-0.00618,0,0
CDS2,0.03054,0.868217094,0.868217094
CDSN,-0.02925,0,0
CDT1,0.23417,0.563662116,0.563662116
CDV3,-0.04515,0.747158376,0.747158376
CDX1,0,0,0
CDX2,0.43183,0,0
CDX4,0,0,0
CDY1,0,0,0
CDY1B,0,0,0
CDY2A,0,0,0
CDY2B,0,0,0
CDYL,-0.49338,0.01320029,0.01320029
CDYL2,0,0,0
CEACAM16,-0.12173,0,0
CEACAM18,0,0,0
CEACAM19,-0.48743,0,0
CEACAM20,0,0,0
CEACAM21,-0.02925,0,0
CEACAM22P,-0.12894,0,0
CEACAM3,0,0,0
CEACAM4,0,0,0
CEACAM5,0.15276,0,0
CEACAM6,-0.82456,5.73E-12,5.73E-12
CEACAM7,-0.68696,0,0
CEACAM8,0,0,0
CEBPA,0.58877,0.038891055,0.038891055
CEBPB,1.276,8.42E-12,8.42E-12
CEBPD,1.38584,5.71E-11,5.71E-11
CEBPE,0,0,0
CEBPG,0.54727,0.000326294,0.000326294
CEBPZ,0.63523,1.48E-05,1.48E-05
CECR1,-0.14267,0,0
CECR2,-0.19959,0,0
CECR3,0,0,0
CECR5,-0.27284,0.378166111,0.378166111
CECR5-AS1,-0.02754,0,0
CECR6,0.48289,0,0
CECR7,0.59344,0.253927375,0.253927375
CEL,-0.63697,0,0
CELA1,0,0,0
CELA2A,0,0,0
CELA2B,-0.02925,0,0
CELA3A,0,0,0
CELA3B,0,0,0
CELF1,1.20993,3.92E-38,3.92E-38
CELF2,-0.41899,0,0
CELF2-AS2,0,0,0
CELF3,0,0,0
CELF4,0,0,0
CELF5,0.46935,0,0
CELF6,-0.43662,0,0
CELP,0,0,0
CELSR1,-0.47987,5.73E-06,5.73E-06
CELSR2,-0.09489,0.788784944,0.788784944
CELSR3,0.43465,0.013256455,0.013256455
CEMP1,0,0,0
CEND1,-0.45811,0.27327389,0.27327389
CENPA,1.66632,6.14E-06,6.14E-06
CENPB,0.42562,0.017078076,0.017078076
CENPBD1,0.16623,0.595230983,0.595230983
CENPC1,1.21529,4.26E-05,4.26E-05
CENPE,0.81053,0.154851323,0.154851323
CENPF,0.85961,9.05E-05,9.05E-05
CENPH,-0.29963,0.538325986,0.538325986
CENPI,-1.09131,0,0
CENPJ,0.24334,0.591345944,0.591345944
CENPK,-0.25204,0.62903458,0.62903458
CENPL,0.62818,0.112050409,0.112050409
CENPM,-0.0698,0.91439068,0.91439068
CENPN,0.02582,0.94562435,0.94562435
CENPO,0.12641,0.613822913,0.613822913
CENPP,0.15768,0.771357166,0.771357166
CENPQ,0.41231,0.444335293,0.444335293
CENPT,-0.17781,0.494341537,0.494341537
CENPV,-0.34079,0.116285167,0.116285167
CENPVP1,0,0,0
CENPVP2,0,0,0
CENPW,0.20185,0.727445965,0.727445965
CEP104,-0.41282,0.13489041,0.13489041
CEP112,0.30519,0.457403274,0.457403274
CEP120,0.19382,0.392798759,0.392798759
CEP128,0.24883,0,0
CEP135,-0.09828,0.85030873,0.85030873
CEP152,0.24375,0.711418934,0.711418934
CEP164,0.1955,0.480334041,0.480334041
CEP170,0.4048,0.012821376,0.012821376
CEP170B,0.19777,0.245329505,0.245329505
CEP170P1,0,0,0
CEP19,-0.38352,0.523664261,0.523664261
CEP192,0.23577,0.498051168,0.498051168
CEP250,-0.27584,0.205915477,0.205915477
CEP290,0.3071,0.237412628,0.237412628
CEP350,1.32138,1.11E-22,1.11E-22
CEP41,-0.73813,0.02398386,0.02398386
CEP44,0.13022,0.801270251,0.801270251
CEP55,-0.16609,0.706687691,0.706687691
CEP57,-0.15778,0.699306827,0.699306827
CEP57L1,0.08285,0.901096234,0.901096234
CEP63,-0.51856,0.22937202,0.22937202
CEP68,-0.24503,0.286355516,0.286355516
CEP70,0.7368,0.066750825,0.066750825
CEP72,0.17228,0.783196344,0.783196344
CEP76,0.73618,0.006879555,0.006879555
CEP78,0.40712,0.390444706,0.390444706
CEP85,-0.02477,0.937849121,0.937849121
CEP89,-0.21493,0.322638839,0.322638839
CEP95,0.99557,1.70E-10,1.70E-10
CEP97,0.4877,0.119557692,0.119557692
CEPT1,0.16892,0.71958598,0.71958598
CER1,0,0,0
CERCAM,-0.83621,0.002353241,0.002353241
CERK,-0.26971,0.21690237,0.21690237
CERKL,0.36236,0,0
CERS1,0.14728,0,0
CERS2,-0.05047,0.671686224,0.671686224
CERS3,0,0,0
CERS4,-0.35067,0.490224213,0.490224213
CERS5,-0.36563,0.088550037,0.088550037
CERS6,-0.28852,0.013166945,0.013166945
CERS6-AS1,-0.12006,0,0
CES1,-1.28207,0,0
CES1P1,-0.02925,0,0
CES1P2,-0.04114,0,0
CES2,0.22124,0.042046472,0.042046472
CES3,-0.43351,0.428081711,0.428081711
CES4A,0.67456,0,0
CES5A,0,0,0
CES5AP1,-0.02925,0,0
CETN1,0,0,0
CETN2,-0.70152,0.000202729,0.000202729
CETN3,0.61813,0.023175577,0.023175577
CETN4P,0.60564,0,0
CETP,-0.05306,0,0
CFC1,0,0,0
CFC1B,0,0,0
CFD,-0.54647,0.049112959,0.049112959
CFDP1,0.14158,0.570178043,0.570178043
CFH,0.12594,0.338615815,0.338615815
CFHR1,0.65277,0.194948983,0.194948983
CFHR2,0,0,0
CFHR3,0.3266,0.582267392,0.582267392
CFHR4,0,0,0
CFHR5,0,0,0
CFI,1.5696,4.90E-10,4.90E-10
CFL1,-0.70494,3.08E-15,3.08E-15
CFL1P1,0.86687,0,0
CFL2,0.5716,7.78E-05,7.78E-05
CFLAR,-0.29428,0.006536733,0.006536733
CFLAR-AS1,1.6473,0,0
CFP,1.76759,0,0
CFTR,0.71713,0,0
CGA,0,0,0
CGB,0,0,0
CGB1,-0.02925,0,0
CGB2,0.10059,0,0
CGB5,0.12758,0,0
CGB7,0.556,0,0
CGB8,-0.11588,0,0
CGGBP1,0.89264,3.68E-09,3.68E-09
CGN,-1.25059,1.69E-07,1.69E-07
CGNL1,0.02165,0,0
CGREF1,-0.49696,0.254953712,0.254953712
CGRRF1,0.34131,0.236588845,0.236588845
CHAC2,0.2599,0.435005469,0.435005469
CHAD,-0.02925,0,0
CHADL,0.13141,0,0
CHAF1A,-0.13149,0.811100886,0.811100886
CHAF1B,-0.42374,0.459604818,0.459604818
CHAMP1,0.32764,0.120924865,0.120924865
CHAT,0,0,0
CHCHD1,0.02314,0.93853807,0.93853807
CHCHD10,-0.55502,0.019492649,0.019492649
CHCHD2,-0.64767,0.000182089,0.000182089
CHCHD3,-0.22302,0.115464728,0.115464728
CHCHD4,0.11451,0.742519481,0.742519481
CHCHD5,-0.03415,0.916437179,0.916437179
CHCHD6,-0.99197,0.015441897,0.015441897
CHCHD7,-0.57484,0.165478318,0.165478318
CHD1,1.19813,1.08E-16,1.08E-16
